indicator_id,name,measure,how_calculated,source_list
740,Bike for Transportation in the Past 7 Days,Number,"Estimated number of adults who reported having biked to get to and from places, rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
749,Cold Stress Hospitalizations,Number,"<p>NYC residents admitted to a NYC hospital during the months of Oct-April, having an ICD-9 diagnosis code for the Effects of reduced temperature in the range of 991, or E-codes E901.0, E901.8, E901.9, or E988.3 for excessive or extreme cold due to weather conditions or undetermined cause. Records with an E-code of E901.1 for excessive cold due to man-made conditions were excluded. The data include those who were admitted with a diagnosis of cold-related illness in any principal or other diagnostic field.&nbsp;Year is based on date of admission.</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
752,Cold Stress Emergency Department Visits,Number,"<p>NYC residents treated in a NYC emergency department during the months of Oct-April, having an ICD-9 diagnosis code for the effects of reduced temperature in the range of 991, or E-codes E901.0, E901.8, E901.9, or E988.3 for excessive or extreme cold due to weather conditions or undetermined cause. Records with an E-code of E901.1 for excessive cold due to man-made conditions were excluded. The data include those who were admitted with a diagnosis of cold-related illness in any principal or other diagnostic field.&nbsp;The data also include patients admitted to the hospital after being treated in an emergency department. Year is based on date of admission.</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
789,Homes with Grab Bars in Bathroom (among older adult households),Number,"Estimated number of homes with grab bars in the bathroom, among homes with adults aged 65 years or older. ",New York City Housing and Vacancy Survey (HVS)
791,Children tested for lead by age 3 years,Number,"Number of children born in New York City to New York City resident mothers tested for lead poisoning before the age of three years. To identify children tested for lead poisoning, birth records for all children born in a given year in New York City to New York City resident mothers were matched to children tested for lead poisoning in the New York City Childhood Lead Registry. <a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/EPHTPDF/Childhood_Lead_Exposure_Definitions_June_2016.pdf"" target=""_blank"">Read more </a>about different measures used by the Health Department for surveillance of childhood lead poisoning.",New York City Bureau of Vital Statistics; New York City Healthy Homes Program
699,Adults with a Personal Doctor,Number,"Estimated number of adults (aged 18 and over) who reported having a personal doctor or health care provider rounded to the nearest 1,000.

",New York City Community Health Survey (CHS)
705,Adults 65+ Reporting Air Conditioning in the Home,Number,"<p>Estimated number of adults age 65 years or older who reported having a functioning air conditioner in any room in their home, rounded to the nearest 1,000.</p>",New York City Community Health Survey (CHS)
718,Adults with Diabetes,Number,"Estimated number of adults aged 18 years and older who have ever been told by a doctor, nurse or other health professional that they have diabetes rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
721,Adults with High Blood Pressure,Number,"Estimated number of adults aged 18 years and older who have ever been told by a doctor, nurse or other health professional that they have high blood pressure rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
724,Adults with High Cholesterol,Number,"Estimated number of adults aged 18 years and older who have ever been told by a doctor, nurse or other health professional that their cholesterol is high rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
738,Walk for Transportation in the Past 7 Days,Number,"Estimated number of adults who reported having walked at least 10 minutes to get to and from places, rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
698,Public School Children (5-14 Yrs Old) with Persistent Asthma,Number,"Number of public school children, aged 5-14 years, with a most recent asthma diagnosis reported to NYC DOHMH from the previous or current school year that describes symptoms occurring more than twice per week, Number is calculated by residence of the child. 
",New York City Automated School Health Records
1060,Older Adults Living Alone,Number,<p><span>Estimated number of people aged 65 and older living alone.</span></p>,American Community Survey
695,Public School Children (5-14 Yrs Old) with Asthma,Number,"Number of public school children, aged 5-14 years, with a diagnosis of asthma that has been reported to NYC DOHMH during the current or previous school year.. Number is calculated by residence of the child.",New York City Automated School Health Records
678,Disruptive Noise Exposure,Number,"Estimated number of adults who reported experiencing noise disruption three or more times per week, rounded to the nearest 1,000. Disruptive noise exposure is any ambient noise from outside the home that disrupts activities - such as watching television, listening to the radio, having a conversation, or sleeping - of the person who hears it.  ",New York City Community Health Survey (CHS)
680,Fall-related emergency department visits among older adults,Number,"Number of NYC emergency department (ED) visits related to falls among adults aged 65 years and older was identified using the following ICD9-CM external cause of injury codes (E-codes): E880-E886, E888. Only treat and release ED visits are included. Citywide figures include NYC residents and non-residents; figures by borough and neighborhood of residence include NYC residents only.","New York State Statewide Planning and Research Cooperative System (SPARCS) ED data 2005-2010, updated March 2013; ED data 2011-2012, updated April 2014. NYC DOHMH population estimates updated July 2013."
682,Fall-related hospitalizations among older adults,Number,"Number of NYC hospitalizations related to falls among adults aged 65 years and older was identified using the following ICD9-CM external cause of injury codes (E-codes): E880-E886, E888. Only live discharges are included. Citywide figures include NYC residents and non-residents; figures by borough and neighborhood of residence include NYC residents only. ","New York State Statewide Planning and Research Cooperative System (SPARCS) inpatient data 2000-2011, updated March 2013; inpatient data 2012, updated April 2014. NYC DOHMH population estimates updated July 2013"
671,"Adults with Health Insurance ",Number,"Estimated number of adults who reported having any kind of health insurance coverage, including private health insurance, prepaid plans such as H-M-Os or government plans such as Medicare or Medicaid, rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
633,Adults Reporting Mice in the Home,Number,"Estimated number of adults reporting mice or rats inside their home in the past 30 days, rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
635,Adults Reporting Air Conditioning in the Home,Number,"Estimated number of adults who reported having a functioning air conditioner in any room in their home, rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
591,Bicycle Injury Emergency Department Visits,Number,"<p>Number of NYC emergency department (ED) visits related to bicycle injuries using the following ICD-9CM external cause of injury codes (E-codes): E810-E819 (.6), E800-E807(.3), E820-E825(.6), E826.1,.9 or E827-E829(.1) are included. Citywide totals include both NYC residents and non-residents. Borough and UHF totals include NYC residents only.</p>","New York State Statewide Planning and Research Cooperative System (SPARCS), 2005-2011, updated April 2014; 2012-2014, updated January 2018"
594,Pedestrian Injury Hospitalizations,Number,"<p>Number of NYC hospitalizations related to pedestrian injuries using the following ICD-9CM external cause of injury codes (E-codes): E810-E819 (.7), E820-E825(.7), or E826-E829(.0) are included Citywide totals include both NYC residents and non-residents. Borough and UHF totals include NYC residents only.&nbsp;</p>","New York State Statewide Planning and Research Cooperative System (SPARCS), 2000-2011, updated March 2013; 2012-2014, updated January 2018"
592,Pedestrian Injury Emergency Department Visits,Number,"Number of NYC emergency department (ED) visits related to pedestrian injuries using the following ICD-9CM external codes (E-codes): E810-E819 (.7), E820-E825(.7), E826-E829(.0) are included.Citywide totals include both NYC residents and non-residents. Borough and UHF totals include NYC residents only.","New York State Statewide Planning and Research Cooperative System (SPARCS), 2005-2011, updated April 2014; 2012-2014, updated January 2018"
611,Youth Consumption of 1 or More Sugary Drinks Per Day,Number,"<p>Estimated number of high school students who reported having consumed one or more sugary drinks per day. Sugary drinks include soda, sweetened iced tea, sports drinks, fruit punch, and other fruit flavored drinks. (One drink equals 12-ounces.) Diet soda, sugar free drinks, 100% juice, and seltzer are not included.</p>",New York City Youth Risk Behavioral Survey
